Tipo;Numero;Data;DataVencimento;Cliente;NIF;Artigo;Descricao;Qtd;Unidade;PU;Desconto%;IVA%;SubtotalSemIVA;TotalIVA;TotalLinha;Armazem;Vendedor;Observacoes
FR;FR 2025/1508;2025-11-06;2025-07-18;Kappa Manufacturing Lda;PT902575027;ART018;Artigo ART018 - Lote 2596;151;M3;1527.80;13;13;200707.09;26091.92;226799.01;AZ01;Rui Costa;Ref 15562263
FT;FT 2025/1355;2024-04-11;2025-02-28;Eta Consulting SA;PT675369998;ART021;Artigo ART021 - Lote 5115;290;UN;1994.38;4;6;555235.39;33314.12;588549.51;AZ03;Pedro Fernandes;Ref 73632809
FT;FT 2025/3038;2026-07-12;2025-09-17;Beta Solutions SA;PT641746481;ART045;Artigo ART045 - Lote 3504;270;L;1676.90;6;6;425597.22;25535.83;451133.05;AZ02;Rui Costa;Ref 36218908
RG;RG 2025/2798;2026-02-22;2025-11-21;Kappa Manufacturing Lda;PT586008372;ART055;Artigo ART055 - Lote 2366;98;L;487.91;12;13;42077.36;5470.06;47547.42;AZ02;Nuno Rodrigues;Ref 40015840
FR;FR 2025/6535;2025-04-20;2026-02-17;Epsilon Tech SA;PT400219684;ART003;Artigo ART003 - Lote 8772;337;M3;1575.87;0;13;531068.19;69038.86;600107.05;AZ03;Ana Pereira;Ref 54135310
ND;ND 2025/9883;2024-06-08;2026-03-23;Kappa Manufacturing Lda;PT055760889;ART003;Artigo ART003 - Lote 0817;386;L;2127.03;12;13;722509.55;93926.24;816435.79;AZ02;Catarina Lopes;Ref 53162099
RG;RG 2025/8108;2025-09-04;2026-03-29;Theta Group Lda;PT006107337;ART021;Artigo ART021 - Lote 5168;474;M3;214.53;2;6;99653.48;5979.21;105632.69;AZ04;Rui Costa;Ref 79916253
FR;FR 2025/8058;2026-10-24;2026-12-26;Epsilon Tech SA;PT501353718;ART033;Artigo ART033 - Lote 7910;94;KG;2235.57;2;23;205940.71;47366.36;253307.07;AZ05;Catarina Lopes;Ref 60688810
NC;NC 2025/6734;2025-05-13;2026-01-31;Zeta Industries Lda;PT796930938;ART001;Artigo ART001 - Lote 4596;265;M3;2726.73;0;6;722583.45;43355.01;765938.46;AZ04;Nuno Rodrigues;Ref 12085532
FT;FT 2025/3009;2026-06-16;2025-01-02;Beta Solutions SA;PT492533237;ART001;Artigo ART001 - Lote 2072;16;M3;1797.23;2;6;28180.57;1690.83;29871.40;AZ03;Maria Santos;Ref 61516764
FT;FT 2025/1535;2024-06-15;2025-02-18;ACME Lda;PT594242901;ART003;Artigo ART003 - Lote 0051;170;CX;2088.93;8;23;326708.65;75142.99;401851.64;AZ02;Ana Pereira;Ref 58606472
ND;ND 2025/1055;2025-04-15;2026-12-20;Delta Serviços Lda;PT161352049;ART021;Artigo ART021 - Lote 2924;475;L;1022.14;13;6;422399.35;25343.96;447743.31;AZ04;Sofia Martins;Ref 99251430
ND;ND 2025/5985;2024-12-14;2026-05-20;Beta Solutions SA;PT466201986;ART045;Artigo ART045 - Lote 7632;52;M3;1191.42;13;6;53899.84;3233.99;57133.83;AZ05;Maria Santos;Ref 85475054
FT;FT 2025/4468;2026-03-30;2026-07-09;Kappa Manufacturing Lda;PT718859580;ART025;Artigo ART025 - Lote 0998;288;PC;137.20;11;23;35167.10;8088.43;43255.53;AZ05;Rui Costa;Ref 99070722
ND;ND 2025/9667;2024-11-05;2026-09-26;Kappa Manufacturing Lda;PT039183882;ART015;Artigo ART015 - Lote 4406;14;L;1034.40;9;6;13178.26;790.70;13968.96;AZ05;Sofia Martins;Ref 17088692
NC;NC 2025/5284;2025-07-08;2026-08-01;ACME Lda;PT388972953;ART025;Artigo ART025 - Lote 9252;213;KG;1768.06;11;23;335171.13;77089.36;412260.49;AZ05;Ana Pereira;Ref 51858872
RG;RG 2025/8920;2024-07-29;2025-07-07;Zeta Industries Lda;PT199492155;ART007;Artigo ART007 - Lote 3370;344;CX;2083.53;8;13;659395.57;85721.42;745116.99;AZ01;Nuno Rodrigues;Ref 77429971
FR;FR 2025/6325;2024-08-31;2025-12-15;Gama Corp;PT254093208;ART002;Artigo ART002 - Lote 2273;26;UN;75.04;4;6;1873.00;112.38;1985.38;AZ01;Carlos Oliveira;Ref 19061670
FT;FT 2025/1126;2024-06-01;2025-04-03;Beta Solutions SA;PT157849244;ART003;Artigo ART003 - Lote 8137;243;CX;1065.80;9;13;235680.35;30638.45;266318.80;AZ01;Bruno Alves;Ref 48830342
NC;NC 2025/0674;2025-03-16;2025-12-02;Gama Corp;PT640892583;ART033;Artigo ART033 - Lote 9200;320;KG;641.82;12;6;180736.51;10844.19;191580.70;AZ01;Ana Pereira;Ref 01987697
FR;FR 2025/9485;2025-06-15;2026-10-13;Gama Corp;PT336462610;ART012;Artigo ART012 - Lote 1245;241;M3;278.14;12;6;58987.93;3539.28;62527.21;AZ04;Catarina Lopes;Ref 63473718
NC;NC 2025/1281;2025-05-20;2025-01-07;Eta Consulting SA;PT749624360;ART007;Artigo ART007 - Lote 1115;280;KG;1763.40;14;13;424626.72;55201.47;479828.19;AZ01;Ana Pereira;Ref 16648979
RG;RG 2025/6653;2024-05-25;2026-02-08;Iota Services SA;PT607422984;ART003;Artigo ART003 - Lote 0321;333;UN;604.89;15;13;171214.11;22257.83;193471.94;AZ02;Sofia Martins;Ref 69693433
FR;FR 2025/0863;2024-07-05;2026-03-22;Iota Services SA;PT435044627;ART007;Artigo ART007 - Lote 0771;370;PC;2145.76;12;23;698659.46;160691.68;859351.14;AZ05;Sofia Martins;Ref 62388565
NC;NC 2025/0473;2025-11-19;2026-03-19;Delta Serviços Lda;PT941981787;ART001;Artigo ART001 - Lote 3425;98;M;2640.50;1;6;256181.31;15370.88;271552.19;AZ03;Nuno Rodrigues;Ref 81838665
FR;FR 2025/7384;2024-03-21;2026-11-11;Beta Solutions SA;PT333797017;ART045;Artigo ART045 - Lote 2885;426;CX;162.03;1;23;68334.53;15716.94;84051.47;AZ03;Bruno Alves;Ref 41921344
FT;FT 2025/1829;2025-09-12;2026-12-09;Delta Serviços Lda;PT561178361;ART040;Artigo ART040 - Lote 2656;57;L;1513.52;6;6;81094.40;4865.66;85960.06;AZ02;Carlos Oliveira;Ref 35901210
RG;RG 2025/0492;2025-05-14;2026-11-19;Gama Corp;PT373834456;ART025;Artigo ART025 - Lote 9710;10;M2;353.51;13;6;3075.54;184.53;3260.07;AZ03;Nuno Rodrigues;Ref 78670470
FR;FR 2025/2175;2024-02-20;2025-02-15;Theta Group Lda;PT112264290;ART007;Artigo ART007 - Lote 9268;3;M;2685.82;3;13;7815.74;1016.05;8831.79;AZ02;Catarina Lopes;Ref 31381080
FT;FT 2025/9924;2024-12-16;2026-06-03;Kappa Manufacturing Lda;PT856080658;ART030;Artigo ART030 - Lote 6719;124;M3;78.94;0;23;9788.56;2251.37;12039.93;AZ03;Pedro Fernandes;Ref 41732578
ND;ND 2025/6743;2026-05-06;2025-02-02;Gama Corp;PT179973215;ART007;Artigo ART007 - Lote 9085;175;L;2605.03;15;6;387498.21;23249.89;410748.10;AZ03;Bruno Alves;Ref 10703303
FT;FT 2025/1145;2024-10-16;2026-02-21;ACME Lda;PT280254579;ART015;Artigo ART015 - Lote 1268;478;M3;1726.57;6;23;775782.43;178429.96;954212.39;AZ01;Rui Costa;Ref 88060623
FR;FR 2025/1821;2026-11-07;2026-11-20;Theta Group Lda;PT019259262;ART015;Artigo ART015 - Lote 8137;321;L;1937.79;10;23;559827.53;128760.33;688587.86;AZ02;Pedro Fernandes;Ref 87214726
ND;ND 2025/3139;2025-08-06;2025-03-25;Gama Corp;PT622943532;ART055;Artigo ART055 - Lote 8931;432;KG;1654.95;10;13;643444.56;83647.79;727092.35;AZ03;Pedro Fernandes;Ref 96212800
RG;RG 2025/2711;2024-03-16;2026-06-02;Zeta Industries Lda;PT457845234;ART001;Artigo ART001 - Lote 3559;53;M2;1115.54;6;23;55576.20;12782.53;68358.73;AZ01;Maria Santos;Ref 48136635
NC;NC 2025/0889;2026-09-25;2025-08-22;Beta Solutions SA;PT993901641;ART040;Artigo ART040 - Lote 7572;235;UN;1952.88;10;6;413034.12;24782.05;437816.17;AZ03;Catarina Lopes;Ref 24795418
FT;FT 2025/7147;2026-02-01;2026-07-21;ACME Lda;PT778473459;ART040;Artigo ART040 - Lote 2286;333;KG;1711.55;14;13;490153.69;63719.98;553873.67;AZ03;Carlos Oliveira;Ref 79000236
NC;NC 2025/2257;2025-09-08;2025-03-28;Theta Group Lda;PT839359114;ART018;Artigo ART018 - Lote 6955;178;M3;2891.21;2;6;504342.67;30260.56;534603.23;AZ03;Pedro Fernandes;Ref 34725283
NC;NC 2025/8673;2025-01-14;2025-03-18;Gama Corp;PT931872725;ART033;Artigo ART033 - Lote 6226;30;M;198.41;3;13;5773.73;750.58;6524.31;AZ01;Sofia Martins;Ref 37080546
FT;FT 2025/7148;2025-11-21;2026-05-29;Eta Consulting SA;PT475200366;ART055;Artigo ART055 - Lote 6392;34;KG;1456.74;10;13;44576.24;5794.91;50371.15;AZ02;Pedro Fernandes;Ref 36125368
FR;FR 2025/1368;2024-12-06;2026-12-14;Kappa Manufacturing Lda;PT911052988;ART012;Artigo ART012 - Lote 3661;218;CX;1350.41;0;6;294389.38;17663.36;312052.74;AZ04;Nuno Rodrigues;Ref 71057980
FT;FT 2025/8038;2024-10-27;2026-11-13;Zeta Industries Lda;PT301839246;ART003;Artigo ART003 - Lote 9174;441;M3;241.04;2;13;104172.67;13542.45;117715.12;AZ01;Ana Pereira;Ref 65289490
FR;FR 2025/5571;2026-03-18;2025-11-28;Epsilon Tech SA;PT717552115;ART003;Artigo ART003 - Lote 7710;272;M3;2405.74;13;6;569294.31;34157.66;603451.97;AZ01;Ana Pereira;Ref 75622902
ND;ND 2025/2586;2025-06-14;2026-10-23;Gama Corp;PT729194587;ART007;Artigo ART007 - Lote 6256;467;UN;523.24;0;13;244353.08;31765.90;276118.98;AZ03;Rui Costa;Ref 64501701
FT;FT 2025/4480;2025-12-12;2025-09-15;Iota Services SA;PT810960494;ART030;Artigo ART030 - Lote 1823;225;M;2074.56;14;6;401427.36;24085.64;425513.00;AZ04;João Silva;Ref 55139890
ND;ND 2025/6848;2026-09-09;2026-01-20;Gama Corp;PT668733538;ART007;Artigo ART007 - Lote 4746;330;KG;1018.14;3;13;325906.61;42367.86;368274.47;AZ04;Maria Santos;Ref 95800410
ND;ND 2025/0837;2024-10-11;2026-02-24;Zeta Industries Lda;PT869030392;ART040;Artigo ART040 - Lote 6122;449;M;1982.59;3;6;863477.42;51808.65;915286.07;AZ03;João Silva;Ref 04823919
NC;NC 2025/4108;2026-01-26;2026-07-12;Gama Corp;PT690000324;ART045;Artigo ART045 - Lote 8077;303;CX;1755.81;9;23;484129.49;111349.78;595479.27;AZ01;Rui Costa;Ref 78526141
RG;RG 2025/0684;2025-07-27;2026-10-07;Theta Group Lda;PT047481971;ART021;Artigo ART021 - Lote 9519;60;L;2539.32;5;6;144741.24;8684.47;153425.71;AZ03;Sofia Martins;Ref 89203975
RG;RG 2025/0237;2024-11-04;2025-06-27;Gama Corp;PT889415259;ART045;Artigo ART045 - Lote 4130;208;UN;2350.41;9;13;444885.60;57835.13;502720.73;AZ04;Nuno Rodrigues;Ref 95190097
NC;NC 2025/9957;2024-10-10;2026-10-08;Iota Services SA;PT480002796;ART007;Artigo ART007 - Lote 8292;286;M2;2003.52;9;6;521436.12;31286.17;552722.29;AZ04;Carlos Oliveira;Ref 46109450
FR;FR 2025/2022;2024-04-18;2025-01-19;Kappa Manufacturing Lda;PT149268872;ART040;Artigo ART040 - Lote 2547;111;UN;2605.02;13;13;251566.78;32703.68;284270.46;AZ03;Sofia Martins;Ref 05969272
RG;RG 2025/0122;2025-05-02;2025-12-06;Epsilon Tech SA;PT619043396;ART045;Artigo ART045 - Lote 4904;343;PC;2918.21;6;23;940889.27;216404.53;1157293.80;AZ05;João Silva;Ref 30710307
FR;FR 2025/2282;2025-09-25;2025-12-03;Epsilon Tech SA;PT481680518;ART015;Artigo ART015 - Lote 3457;431;KG;409.00;3;13;170990.63;22228.78;193219.41;AZ01;Rui Costa;Ref 55219969
NC;NC 2025/9304;2026-06-22;2025-04-03;Epsilon Tech SA;PT786721480;ART040;Artigo ART040 - Lote 7420;317;KG;827.13;9;13;238602.19;31018.28;269620.47;AZ03;Catarina Lopes;Ref 71152344
FT;FT 2025/4091;2026-09-06;2026-05-16;Iota Services SA;PT575769502;ART055;Artigo ART055 - Lote 3765;150;CX;771.85;1;23;114619.73;26362.54;140982.27;AZ04;Catarina Lopes;Ref 86125090
FR;FR 2025/6682;2026-11-24;2025-01-15;ACME Lda;PT702333266;ART040;Artigo ART040 - Lote 8733;420;UN;466.44;9;13;178273.37;23175.54;201448.91;AZ01;Rui Costa;Ref 96632957
NC;NC 2025/1487;2024-03-20;2026-08-05;Epsilon Tech SA;PT209835594;ART055;Artigo ART055 - Lote 0019;426;CX;2455.11;2;6;1024959.32;61497.56;1086456.88;AZ03;Rui Costa;Ref 54607001
ND;ND 2025/4188;2026-04-15;2026-06-24;Iota Services SA;PT855047143;ART001;Artigo ART001 - Lote 2097;316;UN;115.69;3;13;35461.30;4609.97;40071.27;AZ04;Catarina Lopes;Ref 56797372
ND;ND 2025/6264;2024-10-16;2025-10-18;Gama Corp;PT979451748;ART055;Artigo ART055 - Lote 3305;115;M;2414.68;6;6;261026.91;15661.61;276688.52;AZ05;João Silva;Ref 15566569
FR;FR 2025/0011;2024-08-16;2026-11-21;Zeta Industries Lda;PT254778806;ART001;Artigo ART001 - Lote 1062;468;KG;2606.90;4;13;1171228.03;152259.64;1323487.67;AZ03;Sofia Martins;Ref 66177823
RG;RG 2025/2914;2024-09-11;2025-10-12;Theta Group Lda;PT270685752;ART050;Artigo ART050 - Lote 4915;421;CX;2408.93;13;13;882318.79;114701.44;997020.23;AZ01;Sofia Martins;Ref 43718049
FR;FR 2025/5713;2024-02-02;2025-09-25;Epsilon Tech SA;PT772151837;ART015;Artigo ART015 - Lote 9079;468;L;576.04;11;23;239932.18;55184.40;295116.58;AZ04;Catarina Lopes;Ref 85560518
ND;ND 2025/5743;2025-06-23;2025-06-21;Beta Solutions SA;PT506139202;ART018;Artigo ART018 - Lote 8594;379;M2;2043.41;11;13;689262.63;89604.14;778866.77;AZ02;Sofia Martins;Ref 68486454
RG;RG 2025/6188;2026-09-14;2025-11-06;Gama Corp;PT925939211;ART033;Artigo ART033 - Lote 9109;487;PC;341.04;15;13;141173.51;18352.56;159526.07;AZ04;Nuno Rodrigues;Ref 60650733
NC;NC 2025/4637;2026-07-26;2026-06-26;Gama Corp;PT625642856;ART030;Artigo ART030 - Lote 9457;439;CX;1078.92;4;6;454700.04;27282.00;481982.04;AZ03;Catarina Lopes;Ref 43227987
FT;FT 2025/4290;2026-05-03;2025-12-14;Kappa Manufacturing Lda;PT481393660;ART002;Artigo ART002 - Lote 1226;104;UN;1668.56;15;23;147500.70;33925.16;181425.86;AZ02;Carlos Oliveira;Ref 34381265
FT;FT 2025/1051;2026-04-10;2025-10-07;Zeta Industries Lda;PT227944341;ART012;Artigo ART012 - Lote 2049;341;M2;2783.05;5;13;901569.05;117203.98;1018773.03;AZ05;Nuno Rodrigues;Ref 24948659
NC;NC 2025/9590;2025-05-13;2026-04-06;Kappa Manufacturing Lda;PT382759523;ART033;Artigo ART033 - Lote 9385;205;M;379.35;15;23;66101.74;15203.40;81305.14;AZ02;Pedro Fernandes;Ref 04572270
ND;ND 2025/8537;2025-02-12;2026-04-08;Beta Solutions SA;PT471154541;ART002;Artigo ART002 - Lote 6923;255;M;183.13;12;13;41094.37;5342.27;46436.64;AZ03;Pedro Fernandes;Ref 67601548
ND;ND 2025/7889;2026-12-01;2026-06-28;Kappa Manufacturing Lda;PT083773889;ART033;Artigo ART033 - Lote 1301;408;M2;2850.15;3;23;1127975.36;259434.33;1387409.69;AZ04;Nuno Rodrigues;Ref 01799493
FR;FR 2025/6561;2025-06-02;2025-08-08;Beta Solutions SA;PT023991218;ART021;Artigo ART021 - Lote 4491;68;CX;1937.92;7;13;122554.06;15932.03;138486.09;AZ05;Bruno Alves;Ref 18798460
FR;FR 2025/8524;2026-03-20;2026-07-02;ACME Lda;PT535569311;ART003;Artigo ART003 - Lote 0588;351;KG;1051.92;5;6;350762.72;21045.76;371808.48;AZ04;Rui Costa;Ref 02762117
FT;FT 2025/4276;2024-04-13;2026-03-06;Iota Services SA;PT756697193;ART040;Artigo ART040 - Lote 2234;7;KG;2821.63;6;6;18566.33;1113.98;19680.31;AZ01;Carlos Oliveira;Ref 07307535
FR;FR 2025/0399;2024-05-07;2026-08-19;Epsilon Tech SA;PT999939425;ART002;Artigo ART002 - Lote 2801;123;UN;917.97;2;23;110652.10;25449.98;136102.08;AZ01;Bruno Alves;Ref 55174621
FR;FR 2025/4660;2026-07-23;2026-11-07;Zeta Industries Lda;PT665166029;ART015;Artigo ART015 - Lote 4325;328;CX;1709.82;8;6;515955.28;30957.32;546912.60;AZ02;Rui Costa;Ref 94510383
FT;FT 2025/6870;2026-08-24;2025-06-03;Gama Corp;PT615582146;ART018;Artigo ART018 - Lote 3590;286;M;2513.03;10;23;646853.92;148776.40;795630.32;AZ05;Carlos Oliveira;Ref 97287550
FR;FR 2025/1926;2025-03-26;2025-02-15;Beta Solutions SA;PT054493389;ART040;Artigo ART040 - Lote 4151;60;M3;1977.39;7;23;110338.36;25377.82;135716.18;AZ02;Sofia Martins;Ref 26511223
RG;RG 2025/5620;2024-02-16;2026-10-29;Eta Consulting SA;PT632100986;ART033;Artigo ART033 - Lote 2414;55;CX;1294.07;3;13;69038.63;8975.02;78013.65;AZ01;Rui Costa;Ref 73146207
FT;FT 2025/9183;2026-09-08;2025-02-05;Gama Corp;PT919494635;ART018;Artigo ART018 - Lote 1398;401;L;943.23;9;23;344194.06;79164.63;423358.69;AZ02;Pedro Fernandes;Ref 39647556
ND;ND 2025/7488;2026-02-16;2026-11-30;Kappa Manufacturing Lda;PT445690038;ART033;Artigo ART033 - Lote 2190;2;CX;786.57;11;13;1400.09;182.01;1582.10;AZ03;Catarina Lopes;Ref 78543748
RG;RG 2025/9879;2026-08-16;2025-03-19;Iota Services SA;PT612682957;ART050;Artigo ART050 - Lote 1424;185;CX;868.25;0;13;160626.25;20881.41;181507.66;AZ02;João Silva;Ref 23816498
ND;ND 2025/1155;2025-10-21;2026-06-06;Iota Services SA;PT858753517;ART018;Artigo ART018 - Lote 5329;297;PC;517.44;10;23;138311.71;31811.69;170123.40;AZ01;Pedro Fernandes;Ref 13144728
ND;ND 2025/8196;2024-06-09;2025-04-13;Zeta Industries Lda;PT813245589;ART030;Artigo ART030 - Lote 8633;184;M2;118.95;10;6;19698.12;1181.89;20880.01;AZ04;Pedro Fernandes;Ref 01218491
ND;ND 2025/5139;2025-03-09;2025-10-03;Kappa Manufacturing Lda;PT422387579;ART033;Artigo ART033 - Lote 6903;171;M3;780.44;14;23;114771.51;26397.45;141168.96;AZ04;Pedro Fernandes;Ref 92940166
FR;FR 2025/2770;2026-12-08;2025-02-07;Beta Solutions SA;PT117054752;ART002;Artigo ART002 - Lote 7963;132;M2;2975.83;11;23;349600.51;80408.12;430008.63;AZ01;João Silva;Ref 86560024
FT;FT 2025/3241;2025-01-19;2025-07-13;Eta Consulting SA;PT575051534;ART033;Artigo ART033 - Lote 2496;187;UN;1491.56;15;23;237083.46;54529.20;291612.66;AZ02;Ana Pereira;Ref 30187587
FT;FT 2025/9572;2024-04-02;2026-07-01;ACME Lda;PT535756214;ART030;Artigo ART030 - Lote 9275;327;CX;118.45;5;6;36796.49;2207.79;39004.28;AZ03;Maria Santos;Ref 79713909
FT;FT 2025/1481;2024-10-26;2026-10-29;Kappa Manufacturing Lda;PT568552151;ART018;Artigo ART018 - Lote 3685;262;M2;1126.14;1;6;292098.19;17525.89;309624.08;AZ02;Catarina Lopes;Ref 41069619
RG;RG 2025/1016;2024-02-21;2026-06-09;Kappa Manufacturing Lda;PT121412431;ART015;Artigo ART015 - Lote 8314;117;M;430.50;6;6;47346.39;2840.78;50187.17;AZ04;Catarina Lopes;Ref 64625444
NC;NC 2025/8020;2025-06-01;2025-10-25;Delta Serviços Lda;PT507689732;ART033;Artigo ART033 - Lote 4392;342;CX;1121.06;1;13;379568.49;49343.90;428912.39;AZ01;Ana Pereira;Ref 34986027
NC;NC 2025/8422;2025-02-01;2025-02-28;Theta Group Lda;PT449627608;ART025;Artigo ART025 - Lote 4347;424;CX;1530.35;10;6;583981.56;35038.89;619020.45;AZ03;Ana Pereira;Ref 66619630
FR;FR 2025/2592;2026-05-17;2025-03-05;Epsilon Tech SA;PT993106832;ART021;Artigo ART021 - Lote 7195;69;L;1315.13;13;23;78947.25;18157.87;97105.12;AZ04;Nuno Rodrigues;Ref 78336178
FT;FT 2025/7623;2024-04-29;2025-05-19;Gama Corp;PT224081579;ART003;Artigo ART003 - Lote 5779;434;CX;2100.76;9;23;829674.15;190825.05;1020499.20;AZ03;Pedro Fernandes;Ref 70471709
FT;FT 2025/7743;2025-08-09;2025-07-10;Delta Serviços Lda;PT158319094;ART015;Artigo ART015 - Lote 8215;367;CX;2525.78;14;13;797186.68;103634.27;900820.95;AZ01;Nuno Rodrigues;Ref 90147541
RG;RG 2025/9443;2026-10-09;2025-05-13;Eta Consulting SA;PT817081002;ART012;Artigo ART012 - Lote 9488;354;M2;1740.66;3;6;597707.83;35862.47;633570.30;AZ02;Catarina Lopes;Ref 17503274
ND;ND 2025/8739;2024-08-03;2026-08-27;Beta Solutions SA;PT761055782;ART045;Artigo ART045 - Lote 4947;173;M2;329.22;4;6;54676.86;3280.61;57957.47;AZ04;Carlos Oliveira;Ref 28025084
FR;FR 2025/1434;2024-05-03;2026-05-02;Theta Group Lda;PT790092266;ART001;Artigo ART001 - Lote 5831;344;M3;878.96;8;23;278173.26;63979.85;342153.11;AZ05;Ana Pereira;Ref 17333433
FR;FR 2025/6424;2026-11-10;2025-03-16;Delta Serviços Lda;PT702775701;ART015;Artigo ART015 - Lote 1420;97;UN;1084.72;11;6;93643.88;5618.63;99262.51;AZ01;Carlos Oliveira;Ref 46407796
FT;FT 2025/1428;2026-10-16;2026-10-24;Delta Serviços Lda;PT807651126;ART001;Artigo ART001 - Lote 3564;437;UN;338.18;13;6;128572.65;7714.36;136287.01;AZ02;Rui Costa;Ref 71986397
RG;RG 2025/8640;2024-07-19;2025-07-04;Delta Serviços Lda;PT260695635;ART015;Artigo ART015 - Lote 0754;226;L;2313.26;0;13;522796.76;67963.58;590760.34;AZ02;Maria Santos;Ref 97954602
ND;ND 2025/6100;2024-10-25;2026-09-27;Zeta Industries Lda;PT426212766;ART033;Artigo ART033 - Lote 0467;434;M;1253.16;15;6;462290.72;27737.44;490028.16;AZ04;Nuno Rodrigues;Ref 23257629
NC;NC 2025/7291;2024-11-02;2026-07-08;Gama Corp;PT461012970;ART021;Artigo ART021 - Lote 3849;101;KG;301.12;12;23;26763.55;6155.62;32919.17;AZ04;Carlos Oliveira;Ref 64487108
RG;RG 2025/5058;2024-01-09;2025-08-12;Beta Solutions SA;PT552706424;ART021;Artigo ART021 - Lote 6033;143;UN;974.10;1;23;137903.34;31717.77;169621.11;AZ02;Maria Santos;Ref 81730803
RG;RG 2025/9112;2024-05-16;2026-01-31;Beta Solutions SA;PT319780705;ART040;Artigo ART040 - Lote 6971;404;CX;684.38;9;23;251605.46;57869.26;309474.72;AZ02;Bruno Alves;Ref 03749290
NC;NC 2025/7577;2026-09-10;2026-06-02;Kappa Manufacturing Lda;PT853179925;ART012;Artigo ART012 - Lote 8154;475;L;2416.25;6;6;1078855.63;64731.34;1143586.97;AZ04;Catarina Lopes;Ref 24819846
FT;FT 2025/9655;2026-03-14;2025-08-21;ACME Lda;PT703990546;ART007;Artigo ART007 - Lote 3816;228;UN;2294.35;12;23;460338.38;105877.83;566216.21;AZ02;Pedro Fernandes;Ref 74935483
NC;NC 2025/7442;2024-10-17;2025-12-11;Beta Solutions SA;PT462492723;ART007;Artigo ART007 - Lote 4342;39;M3;2477.15;15;13;82117.52;10675.28;92792.80;AZ04;Bruno Alves;Ref 09435732
